one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,eighteen,nineteen,electricity_consumption
6,2,3,1,0,0,0,0,1,1,0,1,1,898,1,1,7,1,469
2,1,2,0,1,0,0,1,0,1,0,0,1,653,1,1,11,2,360
4,0,4,0,1,1,1,1,0,1,0,0,1,2534,1,0,11,1,624
5,1,4,0,0,1,1,0,1,1,0,0,0,1879,1,0,11,2,580
5,1,3,0,1,1,1,1,0,1,1,1,1,1239,0,0,11,1,486
7,3,3,1,0,0,1,1,0,0,0,1,1,2180,1,0,12,0,663
4,2,2,1,0,1,0,0,0,0,0,0,1,2401,1,1,8,2,555
3,1,3,0,0,1,1,0,0,1,0,0,0,1785,1,0,8,1,452
5,1,2,0,0,1,1,0,0,0,1,1,1,1466,1,0,4,0,434
3,2,4,1,1,0,1,1,0,1,1,1,0,1637,0,1,9,2,518
8,2,1,0,0,0,1,1,1,1,0,0,1,2091,0,1,6,1,576
8,1,3,0,0,1,1,1,0,1,0,1,1,2191,1,1,15,0,693
7,2,5,0,1,1,1,1,0,0,0,1,0,512,1,0,12,1,495
6,0,1,0,0,0,1,1,1,1,0,1,0,1841,1,0,3,1,485
3,3,4,0,0,0,0,0,1,0,1,0,0,2142,1,1,4,0,516
3,0,1,1,1,1,0,0,0,0,1,1,1,2064,0,1,15,0,516
8,2,2,1,0,1,0,0,1,1,0,1,0,2014,1,0,2,1,560
8,2,4,0,1,1,1,0,0,0,0,1,0,2428,1,0,2,1,650
6,3,3,1,1,0,0,0,1,0,1,1,1,1040,0,1,13,2,538
3,2,1,1,0,0,1,1,1,1,1,1,1,1782,1,0,7,2,499
8,1,5,1,0,0,0,0,0,0,0,1,1,1169,1,1,3,1,497
5,2,5,1,1,1,0,0,0,1,0,0,1,1239,0,1,11,2,520
6,0,5,0,1,0,0,1,0,1,0,1,0,2114,1,0,15,1,633
2,0,4,1,1,1,0,1,0,1,1,0,0,699,1,1,14,0,386
6,3,1,1,1,0,0,1,0,0,0,0,1,2148,1,0,3,1,549
8,3,3,0,1,0,1,0,1,1,1,1,1,2232,0,1,14,1,708
5,3,1,0,1,1,0,0,1,0,1,1,1,824,1,1,4,0,399
8,1,5,1,1,0,0,0,0,1,1,0,1,1537,1,1,11,0,634
2,0,4,0,0,1,0,0,1,1,1,1,1,1585,1,0,5,0,409
7,2,1,1,0,0,1,0,0,0,1,1,1,2493,1,1,13,2,692
8,2,1,0,0,0,0,0,0,0,0,0,1,1094,0,1,15,2,531
3,0,3,1,0,1,1,0,0,0,0,1,1,2431,0,1,11,0,548
4,3,1,1,0,0,1,1,1,1,0,1,1,2491,1,0,13,0,633
2,3,5,1,0,1,1,1,0,1,1,1,1,585,0,1,13,0,435
4,3,2,0,1,1,0,1,1,1,1,1,0,1348,1,0,12,1,494
3,1,2,1,0,1,1,1,0,0,0,0,1,1568,1,0,4,2,405
8,0,3,1,0,0,0,0,1,1,1,1,0,1595,0,0,13,0,581
8,3,1,0,0,0,0,0,0,0,1,0,1,2308,1,0,4,2,600
4,1,1,0,1,1,0,0,1,1,1,0,0,1589,1,1,7,2,463
3,3,2,0,1,1,1,1,1,0,1,0,0,785,0,1,7,1,365
5,0,4,0,0,0,1,1,1,1,1,1,0,1645,0,1,9,2,525
6,3,3,1,0,1,0,0,1,1,0,1,0,880,1,1,14,2,520
2,0,5,1,0,1,1,0,0,1,1,1,0,695,0,1,6,2,334
5,2,2,0,1,1,1,0,1,0,0,1,0,1979,1,0,4,2,529
8,3,1,0,0,1,0,1,0,1,0,1,1,2117,1,1,12,1,672
7,3,4,0,0,0,1,1,0,0,0,1,1,633,0,1,3,2,442
2,0,3,1,0,0,0,1,1,1,1,1,1,614,0,0,14,2,373
2,2,3,0,0,1,0,0,1,0,0,1,1,1768,1,1,14,1,527
8,1,2,1,1,1,0,1,0,1,1,0,1,1888,0,1,13,1,622
8,1,1,1,0,0,0,0,0,1,0,0,0,577,1,0,5,2,400
2,2,4,0,1,0,1,1,0,1,0,1,1,1553,0,0,3,2,410
4,1,2,1,0,0,1,1,0,0,1,0,0,739,1,1,3,1,335
5,2,3,1,0,0,0,0,0,1,1,0,1,748,1,1,10,1,426
5,0,4,0,0,1,0,0,0,1,1,1,0,2549,0,0,7,2,579
8,1,5,1,1,0,0,1,1,0,0,0,1,1619,1,1,7,2,608
6,2,1,0,0,1,0,1,0,0,1,1,0,2567,1,1,12,1,660
4,1,3,1,0,1,1,0,0,0,1,0,0,1210,1,1,14,1,503
2,0,5,0,1,0,1,1,1,1,0,0,0,2395,1,0,9,0,542
7,0,3,1,0,0,1,0,0,1,1,0,1,2518,0,0,5,2,614
2,2,5,1,0,0,0,0,0,0,0,1,0,1623,0,0,13,2,494
6,2,5,1,0,1,0,1,1,1,1,0,1,2529,1,0,13,0,698
4,3,5,1,1,0,1,0,1,0,0,0,1,804,0,0,4,1,397
2,0,1,1,1,0,1,1,0,0,1,0,1,722,1,0,3,2,292
8,0,4,0,0,0,0,1,1,0,0,0,1,724,1,1,3,0,419
6,0,3,1,1,0,1,0,0,1,1,1,1,914,1,0,9,2,472
6,1,1,0,0,0,0,0,1,1,1,1,1,1261,0,0,14,0,464
3,2,5,1,1,1,0,0,1,1,1,1,1,533,0,0,5,2,388
8,0,4,1,0,0,0,0,1,0,1,1,1,1874,1,1,7,0,594
5,0,4,0,0,0,0,1,0,0,1,1,1,1340,1,0,15,0,519
2,0,3,0,0,0,1,1,0,1,0,0,0,1310,1,0,5,1,352
4,1,2,0,0,0,1,0,0,0,1,0,1,1361,1,1,5,1,424
7,1,5,1,0,0,0,0,0,0,1,1,1,2259,0,0,14,2,666
8,2,2,1,0,0,1,0,1,0,0,1,0,1185,1,1,9,2,550
3,2,3,1,1,1,1,1,0,0,0,0,1,1460,1,0,6,1,455
6,1,3,1,0,0,0,1,1,1,0,0,1,2598,1,1,9,1,667
5,2,4,1,1,1,0,0,1,0,1,0,1,837,1,0,14,1,490
2,0,1,1,0,0,1,0,1,1,1,1,0,1064,1,0,14,1,391
8,2,4,1,0,1,0,1,0,0,0,1,0,2419,1,1,14,0,729
8,1,4,1,0,1,1,0,1,0,0,1,0,2547,1,1,5,1,692
7,3,5,1,1,0,0,0,0,1,1,1,0,2100,0,1,5,1,615
4,3,3,0,0,0,0,0,1,0,0,0,0,2080,1,0,5,1,518
2,3,1,1,0,0,1,1,1,0,0,0,1,2458,0,1,15,0,555
8,1,3,1,1,0,1,0,1,1,0,0,0,2325,0,1,11,0,677
4,3,4,1,0,0,1,1,1,1,1,0,1,1520,0,1,9,1,519
7,0,4,0,0,0,1,1,0,0,1,1,0,2010,0,0,10,1,594
5,1,3,0,0,1,0,0,1,1,1,1,0,2124,0,0,6,0,515
4,3,4,1,0,0,0,1,0,1,1,0,0,573,0,0,6,0,372
7,3,2,0,0,1,0,1,1,0,0,0,0,2310,0,0,8,2,606
5,0,5,0,0,1,0,0,1,0,0,0,0,2227,0,0,7,0,523
3,0,2,0,0,1,0,1,1,0,0,1,1,994,0,0,3,1,318
3,0,4,1,0,1,0,1,0,0,1,1,0,775,0,1,6,2,374
2,1,3,0,1,1,0,1,0,1,1,0,1,572,1,1,10,2,362
6,0,2,0,0,1,0,1,0,0,0,0,1,2542,1,0,4,1,558
7,0,2,1,1,0,1,1,0,1,1,0,0,1856,1,0,5,2,531
7,1,2,1,1,0,1,0,0,1,0,0,0,1079,0,0,3,0,426
8,1,2,0,1,1,1,0,0,0,1,0,0,1741,1,1,12,0,599
8,3,1,1,1,1,0,1,1,1,1,0,1,581,1,1,15,0,531
6,1,5,0,1,1,1,1,1,1,1,1,0,1864,0,1,5,0,571
2,0,5,1,1,1,1,1,1,1,1,1,0,2174,0,0,8,2,532
3,3,3,1,1,1,0,1,1,0,0,1,0,1980,0,0,6,2,516
7,1,3,0,0,0,0,0,1,1,0,0,1,1179,1,1,13,1,549
6,3,5,1,1,0,0,1,0,1,0,1,1,526,0,1,2,0,397
8,3,5,1,1,1,0,0,1,0,0,0,1,1245,0,1,11,0,583
3,0,2,0,1,1,1,0,0,0,1,0,1,1010,1,0,7,0,355
5,3,1,0,0,1,0,0,0,0,0,1,1,2490,1,1,11,1,617
4,2,3,0,1,1,1,0,1,1,0,0,1,2145,0,0,11,0,573
4,1,3,1,1,1,0,0,1,0,1,0,1,2319,0,1,8,2,559
4,3,4,0,1,1,0,0,0,0,1,0,1,2412,0,1,3,1,576
3,1,2,0,0,0,1,0,0,1,1,1,0,1555,1,0,12,0,471
7,3,1,1,0,0,1,1,1,1,0,0,1,973,1,0,3,0,441
7,1,1,1,0,1,1,0,1,0,0,1,1,1809,1,0,10,2,568
2,3,1,1,1,0,1,0,1,1,0,1,0,640,1,1,10,2,355
4,3,2,1,1,1,0,1,0,0,0,0,0,2496,1,1,15,2,641
2,3,3,1,1,1,1,1,0,1,1,0,1,898,0,1,14,2,433
8,2,4,0,0,1,1,1,0,0,0,0,0,1983,0,0,8,1,595
2,0,3,1,0,0,0,1,1,0,1,0,0,986,0,1,9,1,348
7,3,1,1,1,1,1,1,0,0,0,0,0,2503,0,0,11,2,668
5,2,1,0,1,1,1,1,0,0,1,0,0,2160,0,1,10,2,580
5,0,5,0,0,0,0,0,0,1,1,0,0,1027,0,0,3,2,386
8,0,1,0,1,1,0,1,0,0,1,0,1,2322,0,1,13,1,659
4,1,1,0,0,0,0,0,1,0,0,0,1,1636,0,1,3,2,399
4,3,2,1,1,0,1,1,0,0,0,1,0,2024,0,1,15,0,576
8,3,4,0,0,0,1,0,0,1,0,1,0,1986,1,1,4,0,610
2,0,4,0,1,0,0,0,1,1,0,1,1,1610,0,0,4,1,403
3,2,5,1,1,0,1,0,0,0,0,1,1,716,1,0,12,2,442
7,3,2,1,1,1,1,1,1,0,1,0,1,2165,1,0,12,0,649
7,1,1,0,0,0,1,1,0,1,0,1,1,1010,1,0,11,0,452
7,3,5,1,0,0,1,0,0,0,0,1,0,1947,0,1,9,1,614
4,0,3,0,0,1,1,1,1,1,0,0,1,1390,1,0,9,2,483
2,2,1,1,1,1,1,0,0,1,0,1,1,536,0,1,9,0,302
6,1,4,0,1,0,0,1,0,1,1,1,1,1992,1,0,10,1,594
5,3,2,0,1,1,0,1,0,0,0,1,0,1047,1,1,13,1,474
3,1,4,1,0,1,1,1,0,1,1,1,0,949,0,0,4,0,370
6,0,2,0,1,1,0,1,1,1,1,1,0,2256,0,0,13,2,607
3,2,1,1,0,1,0,1,0,0,0,0,0,993,0,1,2,1,307
3,3,1,0,0,0,1,1,1,0,0,1,1,2462,0,1,12,0,567
2,2,3,1,1,1,0,1,0,0,0,0,0,1817,0,1,9,1,455
5,1,3,1,1,1,1,0,0,0,0,1,1,1980,1,0,12,1,578
6,3,1,0,0,0,0,0,0,1,0,0,1,1734,1,0,10,2,520
2,1,2,1,1,1,1,1,0,1,0,1,1,2563,0,0,11,1,548
4,0,5,0,0,1,1,0,0,1,1,1,1,1612,0,0,2,0,462
3,0,5,1,1,1,0,1,1,0,0,0,0,1475,1,0,12,0,485
3,2,1,0,0,0,0,1,1,1,0,1,0,2172,1,1,2,2,458
